trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,trial.started,Fixation.started,Fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrans,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
52,0.5,1.0,66.88901709998026,,66.87696370016783,66.88901709998026,67.38999240007252,67.38999240007252,67.38999240007252,67.68999300012365,68.4824391999282,left,-1.0,1,1,1.0854035001248121,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
53,0.5,1.0,68.50497070001438,,68.48257829993963,68.50497070001438,69.00747000006959,68.99036699999124,68.99036699999124,69.28955189976841,69.58230469981208,right,1.0,0,0,0.5827998998574913,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
54,0.5,1.0,69.59011949971318,,69.58244819985703,69.59011949971318,70.09190509980544,70.09190509980544,70.09190509980544,70.39143639989197,70.84925400000066,right,1.0,1,1,0.7432765001431108,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
55,0.5,1.0,70.85805690009147,,70.84939499991015,70.85805690009147,71.37512199999765,71.37512199999765,71.37512199999765,71.69131310004741,72.55196029972285,right,1.0,0,0,1.164285299833864,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
56,0.5,1.0,72.57393149985,,72.5521065001376,72.57393149985,73.07563180010766,73.05930839991197,73.05930839991197,73.35920399986207,73.65058299992234,left,-1.0,1,1,0.5797947999089956,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
57,0.5,1.0,73.65852280007675,,73.65073429979384,73.65852280007675,74.15929570002481,74.15929570002481,74.15929570002481,74.45937749976292,74.6687662997283,left,-1.0,1,1,0.49708110000938177,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
58,0.5,1.0,74.69145489996299,,74.66890859976411,74.69145489996299,75.19308129977435,75.17628230014816,75.17628230014816,75.47666209982708,75.70201959973201,left,-1.0,1,1,0.5208665002137423,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
59,0.5,0.5,75.72484929999337,,75.70215620007366,75.72484929999337,76.22688680002466,76.21042779972777,76.21042779972777,76.51001420011744,76.7716395999305,left,-0.5,1,1,0.557653000112623,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
60,0.5,0.5,76.79221299989149,,76.77178109996021,76.79221299989149,77.29417990008369,77.27740040002391,77.27740040002391,77.57726779999211,77.95144469989464,right,0.5,1,1,0.6634463998489082,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
61,0.5,0.5,77.96032459987327,,77.95157369971275,77.96032459987327,78.46108300006017,78.46108300006017,78.46108300006017,78.76169779989868,79.30315160006285,left,-0.5,0,0,0.8295905999839306,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
62,0.5,1.0,79.32641929993406,,79.30330119980499,79.32641929993406,79.82870789989829,79.8115035998635,79.8115035998635,80.11184899974614,80.63635180005804,right,1.0,1,1,0.8091438999399543,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
63,0.5,1.0,80.64489160012454,,80.63649299973622,80.64489160012454,81.14584149979055,81.14584149979055,81.14584149979055,81.44557530013844,82.10489339986816,left,-1.0,1,1,0.9556737998500466,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
64,0.5,1.0,82.12737500015646,,82.10503369988874,82.12737500015646,82.62943929992616,82.61288439994678,82.61288439994678,82.91234829975292,83.17081920010969,left,-1.0,0,0,0.5502104996703565,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
65,0.5,1.0,83.1793813998811,,83.17095470009372,83.1793813998811,83.6797906998545,83.6797906998545,83.6797906998545,83.9799568997696,84.40421489998698,right,1.0,1,1,0.7195350001566112,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
66,0.5,1.0,84.41267699981108,,84.40437299991027,84.41267699981108,84.91356430016458,84.91356430016458,84.91356430016458,85.21223070006818,85.6391933998093,right,1.0,0,0,0.7212457000277936,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
67,0.5,1.0,85.66252230014652,,85.63932720012963,85.66252230014652,86.16369940014556,86.14752579992637,86.14752579992637,86.44759290013462,86.75702839996666,right,1.0,1,1,0.5984641001559794,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
68,0.5,1.0,86.77935749990866,,86.75717270001769,86.77935749990866,87.28124739974737,87.26399340014905,87.26399340014905,87.56313089979813,87.90639719972387,left,-1.0,0,0,0.6243364997208118,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
69,0.5,1.0,87.91484019998461,,87.90656469995156,87.91484019998461,88.4148744000122,88.4148744000122,88.4148744000122,88.71491729980335,89.00598380016163,left,-1.0,0,0,0.5749919000081718,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
70,0.5,1.0,89.01515890005976,,89.00612920010462,89.01515890005976,89.51544190011919,89.51544190011919,89.51544190011919,89.81514800013974,90.05715449992567,right,1.0,1,1,0.5251259999349713,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
71,0.5,1.0,90.06511020008475,,90.05732710007578,90.06511020008475,90.56629629991949,90.56629629991949,90.56629629991949,90.88418099982664,91.14204559987411,left,-1.0,0,0,0.567132500000298,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
72,0.5,1.0,91.16479740012437,,91.14219489973038,91.16479740012437,91.66674809996039,91.6496720998548,91.6496720998548,91.94954499974847,92.20843240013346,left,-1.0,0,0,0.5541067002341151,252029,001,2024-09-12_17h28.09.527,adaptive staircase-Vidhi-6-9-24,2024.1.5,None,2024-09-12 17h28.16.936133 +0530,
